O,N,B,S,P,Specific surface area,Smicro,Smeso,Pore volume,Vmicro,Vmeso,Rmic/mes,Dap,ID/IG,Electrolyte,Current collector,Active mass loading,Potential window,Current density,Specific capacity
7.71,0.0,0.0,0.0,0.0,804.0,500.0,304.0,0.315,,,1.645,1.56716417910448,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,4.0,34.8
7.71,0.0,0.0,0.0,0.0,804.0,500.0,304.0,0.315,,,1.645,1.56716417910448,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,5.0,33.2
7.71,0.0,0.0,0.0,0.0,804.0,500.0,304.0,0.315,,,1.645,1.56716417910448,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,7.0,30.2
7.71,0.0,0.0,0.0,0.0,804.0,500.0,304.0,0.315,,,1.645,1.56716417910448,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,10.0,26.7
7.71,0.0,0.0,0.0,0.0,804.0,500.0,304.0,0.315,,,1.645,1.56716417910448,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,15.0,24.7
7.71,0.0,0.0,0.0,0.0,804.0,500.0,304.0,0.315,,,1.645,1.56716417910448,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,20.0,21.6
8.06,0.0,0.0,0.0,0.0,1770.0,1020.0,750.0,0.721,,,1.36,1.62937853107345,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,0.5,177.7
8.06,0.0,0.0,0.0,0.0,1770.0,1020.0,750.0,0.721,,,1.36,1.62937853107345,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,1.0,148.5
8.06,0.0,0.0,0.0,0.0,1770.0,1020.0,750.0,0.721,,,1.36,1.62937853107345,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,2.0,135.5
8.06,0.0,0.0,0.0,0.0,1770.0,1020.0,750.0,0.721,,,1.36,1.62937853107345,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,3.0,127.9
8.06,0.0,0.0,0.0,0.0,1770.0,1020.0,750.0,0.721,,,1.36,1.62937853107345,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,4.0,122.1
8.06,0.0,0.0,0.0,0.0,1770.0,1020.0,750.0,0.721,,,1.36,1.62937853107345,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,5.0,117.0
8.06,0.0,0.0,0.0,0.0,1770.0,1020.0,750.0,0.721,,,1.36,1.62937853107345,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,7.0,107.5
8.06,0.0,0.0,0.0,0.0,1770.0,1020.0,750.0,0.721,,,1.36,1.62937853107345,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,10.0,102.9
8.06,0.0,0.0,0.0,0.0,1770.0,1020.0,750.0,0.721,,,1.36,1.62937853107345,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,15.0,91.3
8.06,0.0,0.0,0.0,0.0,1770.0,1020.0,750.0,0.721,,,1.36,1.62937853107345,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,20.0,85.5
9.3,0.0,0.0,0.0,0.0,1781.0,950.0,831.0,0.784,,,1.143,1.76080853453116,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,0.5,108.2
9.3,0.0,0.0,0.0,0.0,1781.0,950.0,831.0,0.784,,,1.143,1.76080853453116,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,1.0,96.6
9.3,0.0,0.0,0.0,0.0,1781.0,950.0,831.0,0.784,,,1.143,1.76080853453116,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,2.0,86.9
9.3,0.0,0.0,0.0,0.0,1781.0,950.0,831.0,0.784,,,1.143,1.76080853453116,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,3.0,82.0
9.3,0.0,0.0,0.0,0.0,1781.0,950.0,831.0,0.784,,,1.143,1.76080853453116,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,4.0,78.7
9.3,0.0,0.0,0.0,0.0,1781.0,950.0,831.0,0.784,,,1.143,1.76080853453116,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,5.0,75.2
9.3,0.0,0.0,0.0,0.0,1781.0,950.0,831.0,0.784,,,1.143,1.76080853453116,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,7.0,72.0
9.3,0.0,0.0,0.0,0.0,1781.0,950.0,831.0,0.784,,,1.143,1.76080853453116,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,10.0,67.1
9.3,0.0,0.0,0.0,0.0,1781.0,950.0,831.0,0.784,,,1.143,1.76080853453116,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,15.0,60.5
9.3,0.0,0.0,0.0,0.0,1781.0,950.0,831.0,0.784,,,1.143,1.76080853453116,1.18,1M ZnSO4,stainless-steel mesh,1.2,1.6,20.0,57.0
10.4,3.6,0.0,0.0,0.0,2085.0,,,2.44,,,,4.6810551558753,1.05,1M Zn(CF3SO3)2,graphite paper,2.0,1.6,0.25,97.0
10.4,3.6,0.0,0.0,0.0,2085.0,,,2.44,,,,4.6810551558753,1.05,1M Zn(CF3SO3)2,graphite paper,2.0,1.6,20.0,61.401
5.5,4.4,0.0,0.0,0.0,2526.0,,,2.69,,,,4.2596991290578,1.07,1M Zn(CF3SO3)2,graphite paper,2.0,1.6,0.25,124.0
5.5,4.4,0.0,0.0,0.0,2526.0,,,2.69,,,,4.2596991290578,1.07,1M Zn(CF3SO3)2,graphite paper,2.0,1.6,20.0,81.716
5.5,4.4,0.0,0.0,0.0,2526.0,,,2.69,,,,4.2596991290578,1.07,1M Zn(CF3SO3)2,graphite paper,15.0,1.6,0.25,78.0
4.0,2.5,0.0,0.0,0.0,2146.0,,,2.22,,,,4.13793103448276,1.16,1M Zn(CF3SO3)2,graphite paper,2.0,1.6,0.25,95.4
4.0,2.5,0.0,0.0,0.0,2146.0,,,2.22,,,,4.13793103448276,1.16,1M Zn(CF3SO3)2,graphite paper,2.0,1.6,20.0,45.8874
5.0,2.5,0.0,0.0,0.0,1643.0,,,1.39,,,,3.38405356055995,1.06,1M Zn(CF3SO3)2,graphite paper,2.0,1.6,0.25,84.0
5.0,2.5,0.0,0.0,0.0,1643.0,,,1.39,,,,3.38405356055995,1.06,1M Zn(CF3SO3)2,graphite paper,2.0,1.6,20.0,45.444
6.99,1.59,0.0,0.0,0.0,2465.9,,,1.29,0.68,,1.115,2.09254227665355,0.912,2M ZnSO4,nickel foam,2.0,1.8,0.05,108.5
6.99,1.59,0.0,0.0,0.0,2465.9,,,1.29,0.68,,1.115,2.09254227665355,0.912,2M ZnSO4,nickel foam,2.0,1.8,0.1,85.9
6.99,1.59,0.0,0.0,0.0,2465.9,,,1.29,0.68,,1.115,2.09254227665355,0.912,2M ZnSO4,nickel foam,2.0,1.8,0.2,73.1
6.99,1.59,0.0,0.0,0.0,2465.9,,,1.29,0.68,,1.115,2.09254227665355,0.912,2M ZnSO4,nickel foam,2.0,1.8,0.3,68.7
6.99,1.59,0.0,0.0,0.0,2465.9,,,1.29,0.68,,1.115,2.09254227665355,0.912,2M ZnSO4,nickel foam,2.0,1.8,0.5,65.0
6.99,1.59,0.0,0.0,0.0,2465.9,,,1.29,0.68,,1.115,2.09254227665355,0.912,2M ZnSO4,nickel foam,2.0,1.8,1.0,60.8
6.99,1.59,0.0,0.0,0.0,2465.9,,,1.29,0.68,,1.115,2.09254227665355,0.912,2M ZnSO4,nickel foam,2.0,1.8,2.0,55.3
6.99,1.59,0.0,0.0,0.0,2465.9,,,1.29,0.68,,1.115,2.09254227665355,0.912,2M ZnSO4,nickel foam,2.0,1.8,3.0,52.7
6.99,1.59,0.0,0.0,0.0,2465.9,,,1.29,0.68,,1.115,2.09254227665355,0.912,2M ZnSO4,nickel foam,2.0,1.8,5.0,49.2
6.99,1.59,0.0,0.0,0.0,2465.9,,,1.29,0.68,,1.115,2.09254227665355,0.912,2M ZnSO4,nickel foam,2.0,1.8,10.0,44.5
6.99,1.59,0.0,0.0,0.0,2465.9,,,1.29,0.68,,1.115,2.09254227665355,0.912,2M ZnSO4,nickel foam,2.0,1.8,15.0,41.6
6.99,1.59,0.0,0.0,0.0,2465.9,,,1.29,0.68,,1.115,2.09254227665355,0.912,2M ZnSO4,nickel foam,2.0,1.8,20.0,41.6
7.87,1.93,0.0,4.0,0.0,3082.0,,,1.42,0.66,0.66,1.152,1.8429591174562,1.72,2M ZnSO4,stainless-steel mesh,,1.6,0.2,142.7
7.87,1.93,0.0,4.0,0.0,3082.0,,,1.42,0.66,0.66,1.152,1.8429591174562,1.72,2M ZnSO4,stainless-steel mesh,,1.6,0.5,125.0
7.87,1.93,0.0,4.0,0.0,3082.0,,,1.42,0.66,0.66,1.152,1.8429591174562,1.72,2M ZnSO4,stainless-steel mesh,,1.6,1.0,109.6
7.87,1.93,0.0,4.0,0.0,3082.0,,,1.42,0.66,0.66,1.152,1.8429591174562,1.72,2M ZnSO4,stainless-steel mesh,,1.6,2.0,97.2
7.87,1.93,0.0,4.0,0.0,3082.0,,,1.42,0.66,0.66,1.152,1.8429591174562,1.72,2M ZnSO4,stainless-steel mesh,,1.6,3.0,89.9
7.87,1.93,0.0,4.0,0.0,3082.0,,,1.42,0.66,0.66,1.152,1.8429591174562,1.72,2M ZnSO4,stainless-steel mesh,,1.6,5.0,82.7
3.9,9.7,0.0,0.0,0.0,844.0,653.0,191.0,0.41,,,3.419,1.94312796208531,0.99,1M ZnSO4,freestanding,1.0,2.0,0.1,189.4
3.9,9.7,0.0,0.0,0.0,844.0,653.0,191.0,0.41,,,3.419,1.94312796208531,0.99,1M ZnSO4,freestanding,1.0,2.0,0.2,154.5
3.9,9.7,0.0,0.0,0.0,844.0,653.0,191.0,0.41,,,3.419,1.94312796208531,0.99,1M ZnSO4,freestanding,1.0,2.0,0.5,131.5
3.9,9.7,0.0,0.0,0.0,844.0,653.0,191.0,0.41,,,3.419,1.94312796208531,0.99,1M ZnSO4,freestanding,1.0,2.0,1.0,130.4
3.9,9.7,0.0,0.0,0.0,844.0,653.0,191.0,0.41,,,3.419,1.94312796208531,0.99,1M ZnSO4,freestanding,1.0,2.0,2.0,117.9
3.9,9.7,0.0,0.0,0.0,844.0,653.0,191.0,0.41,,,3.419,1.94312796208531,0.99,1M ZnSO4,freestanding,1.0,2.0,3.0,112.3
3.9,9.7,0.0,0.0,0.0,844.0,653.0,191.0,0.41,,,3.419,1.94312796208531,0.99,1M ZnSO4,freestanding,1.0,2.0,4.0,107.7
3.9,9.7,0.0,0.0,0.0,844.0,653.0,191.0,0.41,,,3.419,1.94312796208531,0.99,1M ZnSO4,freestanding,1.0,2.0,5.0,104.9
3.9,9.7,0.0,0.0,0.0,844.0,653.0,191.0,0.41,,,3.419,1.94312796208531,0.99,1M ZnSO4,freestanding,1.0,2.0,7.0,102.2
3.9,9.7,0.0,0.0,0.0,844.0,653.0,191.0,0.41,,,3.419,1.94312796208531,0.99,1M ZnSO4,freestanding,1.0,2.0,10.0,100.3
4.81,1.09,0.0,0.0,0.0,972.4,222.7,749.7,1.67,,1.38,0.21,6.86960098724805,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,0.2,104.9
4.81,1.09,0.0,0.0,0.0,972.4,222.7,749.7,1.67,,1.38,0.21,6.86960098724805,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,0.5,91.0
4.81,1.09,0.0,0.0,0.0,972.4,222.7,749.7,1.67,,1.38,0.21,6.86960098724805,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,1.0,84.9
4.81,1.09,0.0,0.0,0.0,972.4,222.7,749.7,1.67,,1.38,0.21,6.86960098724805,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,2.0,78.2
4.81,1.09,0.0,0.0,0.0,972.4,222.7,749.7,1.67,,1.38,0.21,6.86960098724805,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,3.0,74.2
4.81,1.09,0.0,0.0,0.0,972.4,222.7,749.7,1.67,,1.38,0.21,6.86960098724805,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,4.0,70.8
4.81,1.09,0.0,0.0,0.0,972.4,222.7,749.7,1.67,,1.38,0.21,6.86960098724805,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,5.0,68.5
4.81,1.09,0.0,0.0,0.0,972.4,222.7,749.7,1.67,,1.38,0.21,6.86960098724805,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,10.0,60.3
4.81,1.09,0.0,0.0,0.0,972.4,222.7,749.7,1.67,,1.38,0.21,6.86960098724805,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,15.0,56.5
4.81,1.09,0.0,0.0,0.0,972.4,222.7,749.7,1.67,,1.38,0.21,6.86960098724805,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,20.0,52.1
4.81,1.09,0.0,0.0,0.0,972.4,222.7,749.7,1.67,,1.38,0.21,6.86960098724805,0.82,2M ZnSO4,stainless-steel mesh,2.5,1.6,30.0,44.8
4.89,1.74,0.0,0.0,0.0,1666.8,178.1,1488.7,2.42,,2.13,0.136,5.80753539716823,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,0.2,132.9
4.89,1.74,0.0,0.0,0.0,1666.8,178.1,1488.7,2.42,,2.13,0.136,5.80753539716823,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,0.5,114.4
4.89,1.74,0.0,0.0,0.0,1666.8,178.1,1488.7,2.42,,2.13,0.136,5.80753539716823,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,1.0,108.9
4.89,1.74,0.0,0.0,0.0,1666.8,178.1,1488.7,2.42,,2.13,0.136,5.80753539716823,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,2.0,99.4
4.89,1.74,0.0,0.0,0.0,1666.8,178.1,1488.7,2.42,,2.13,0.136,5.80753539716823,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,3.0,95.6
4.89,1.74,0.0,0.0,0.0,1666.8,178.1,1488.7,2.42,,2.13,0.136,5.80753539716823,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,4.0,91.1
4.89,1.74,0.0,0.0,0.0,1666.8,178.1,1488.7,2.42,,2.13,0.136,5.80753539716823,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,5.0,89.9
4.89,1.74,0.0,0.0,0.0,1666.8,178.1,1488.7,2.42,,2.13,0.136,5.80753539716823,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,10.0,83.3
4.89,1.74,0.0,0.0,0.0,1666.8,178.1,1488.7,2.42,,2.13,0.136,5.80753539716823,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,15.0,80.8
4.89,1.74,0.0,0.0,0.0,1666.8,178.1,1488.7,2.42,,2.13,0.136,5.80753539716823,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,20.0,76.6
4.89,1.74,0.0,0.0,0.0,1666.8,178.1,1488.7,2.42,,2.13,0.136,5.80753539716823,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,30.0,73.3
4.89,1.74,0.0,0.0,0.0,1666.8,178.1,1488.7,2.42,,2.13,0.136,5.80753539716823,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,40.0,68.8
4.89,1.74,0.0,0.0,0.0,1666.8,178.1,1488.7,2.42,,2.13,0.136,5.80753539716823,0.88,2M ZnSO4,stainless-steel mesh,2.5,1.6,50.0,65.2
6.42,2.75,0.0,0.0,0.0,1301.6,126.5,1175.1,3.04,,2.83,0.074,9.34234787953288,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,0.2,67.8
6.42,2.75,0.0,0.0,0.0,1301.6,126.5,1175.1,3.04,,2.83,0.074,9.34234787953288,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,0.5,59.8
6.42,2.75,0.0,0.0,0.0,1301.6,126.5,1175.1,3.04,,2.83,0.074,9.34234787953288,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,1.0,56.8
6.42,2.75,0.0,0.0,0.0,1301.6,126.5,1175.1,3.04,,2.83,0.074,9.34234787953288,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,2.0,53.2
6.42,2.75,0.0,0.0,0.0,1301.6,126.5,1175.1,3.04,,2.83,0.074,9.34234787953288,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,3.0,51.7
6.42,2.75,0.0,0.0,0.0,1301.6,126.5,1175.1,3.04,,2.83,0.074,9.34234787953288,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,4.0,49.9
6.42,2.75,0.0,0.0,0.0,1301.6,126.5,1175.1,3.04,,2.83,0.074,9.34234787953288,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,5.0,49.2
6.42,2.75,0.0,0.0,0.0,1301.6,126.5,1175.1,3.04,,2.83,0.074,9.34234787953288,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,10.0,45.5
6.42,2.75,0.0,0.0,0.0,1301.6,126.5,1175.1,3.04,,2.83,0.074,9.34234787953288,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,15.0,43.7
6.42,2.75,0.0,0.0,0.0,1301.6,126.5,1175.1,3.04,,2.83,0.074,9.34234787953288,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,20.0,41.1
6.42,2.75,0.0,0.0,0.0,1301.6,126.5,1175.1,3.04,,2.83,0.074,9.34234787953288,0.92,2M ZnSO4,stainless-steel mesh,2.5,1.6,30.0,37.4
4.77,0.0,0.0,0.0,0.0,1644.0,1292.0,,0.96,0.548,,1.33,2.33576642335766,1.06,1M ZnSO4,freestanding,1.77,1.6,0.1,52.9
4.77,0.0,0.0,0.0,0.0,1644.0,1292.0,,0.96,0.548,,1.33,2.33576642335766,1.06,1M ZnSO4,freestanding,1.77,1.6,0.2,48.7
4.77,0.0,0.0,0.0,0.0,1644.0,1292.0,,0.96,0.548,,1.33,2.33576642335766,1.06,1M ZnSO4,freestanding,1.77,1.6,0.5,43.8
4.77,0.0,0.0,0.0,0.0,1644.0,1292.0,,0.96,0.548,,1.33,2.33576642335766,1.06,1M ZnSO4,freestanding,1.77,1.6,1.0,40.0
4.77,0.0,0.0,0.0,0.0,1644.0,1292.0,,0.96,0.548,,1.33,2.33576642335766,1.06,1M ZnSO4,freestanding,1.77,1.6,2.0,36.5
4.77,0.0,0.0,0.0,0.0,1644.0,1292.0,,0.96,0.548,,1.33,2.33576642335766,1.06,1M ZnSO4,freestanding,1.77,1.6,5.0,31.4
4.77,0.0,0.0,0.0,0.0,1644.0,1292.0,,0.96,0.548,,1.33,2.33576642335766,1.06,1M ZnSO4,freestanding,1.77,1.6,10.0,26.9
4.77,0.0,0.0,0.0,0.0,1644.0,1292.0,,0.96,0.548,,1.33,2.33576642335766,1.06,1M ZnSO4,freestanding,1.77,1.6,20.0,21.4
4.43,2.62,0.0,0.0,2.14,2038.0,980.0,,1.29,0.428,,0.497,2.53189401373896,1.12,1M ZnSO4,freestanding,1.77,1.6,0.1,103.2
4.43,2.62,0.0,0.0,2.14,2038.0,980.0,,1.29,0.428,,0.497,2.53189401373896,1.12,1M ZnSO4,freestanding,1.77,1.6,0.2,93.7
4.43,2.62,0.0,0.0,2.14,2038.0,980.0,,1.29,0.428,,0.497,2.53189401373896,1.12,1M ZnSO4,freestanding,1.77,1.6,0.5,85.3
4.43,2.62,0.0,0.0,2.14,2038.0,980.0,,1.29,0.428,,0.497,2.53189401373896,1.12,1M ZnSO4,freestanding,1.77,1.6,1.0,80.3
4.43,2.62,0.0,0.0,2.14,2038.0,980.0,,1.29,0.428,,0.497,2.53189401373896,1.12,1M ZnSO4,freestanding,1.77,1.6,2.0,74.7
4.43,2.62,0.0,0.0,2.14,2038.0,980.0,,1.29,0.428,,0.497,2.53189401373896,1.12,1M ZnSO4,freestanding,1.77,1.6,5.0,68.2
4.43,2.62,0.0,0.0,2.14,2038.0,980.0,,1.29,0.428,,0.497,2.53189401373896,1.12,1M ZnSO4,freestanding,1.77,1.6,10.0,61.0
4.43,2.62,0.0,0.0,2.14,2038.0,980.0,,1.29,0.428,,0.497,2.53189401373896,1.12,1M ZnSO4,freestanding,1.77,1.6,20.0,52.8
9.1,3.1,0.0,0.0,0.0,1055.0,,,0.95,0.35,,0.583,3.60189573459716,1.06,2M ZnSO4,stainless-steel mesh,1.0,1.7,0.1,230.0
9.1,3.1,0.0,0.0,0.0,1055.0,,,0.95,0.35,,0.583,3.60189573459716,1.06,2M ZnSO4,stainless-steel mesh,1.0,1.7,0.2,165.0
9.1,3.1,0.0,0.0,0.0,1055.0,,,0.95,0.35,,0.583,3.60189573459716,1.06,2M ZnSO4,stainless-steel mesh,1.0,1.7,0.5,150.0
9.1,3.1,0.0,0.0,0.0,1055.0,,,0.95,0.35,,0.583,3.60189573459716,1.06,2M ZnSO4,stainless-steel mesh,1.0,1.7,1.0,137.0
9.1,3.1,0.0,0.0,0.0,1055.0,,,0.95,0.35,,0.583,3.60189573459716,1.06,2M ZnSO4,stainless-steel mesh,1.0,1.7,2.0,127.0
9.1,3.1,0.0,0.0,0.0,1055.0,,,0.95,0.35,,0.583,3.60189573459716,1.06,2M ZnSO4,stainless-steel mesh,1.0,1.7,5.0,122.0
9.1,3.1,0.0,0.0,0.0,1055.0,,,0.95,0.35,,0.583,3.60189573459716,1.06,2M ZnSO4,stainless-steel mesh,1.0,1.7,10.0,118.0
6.1,7.2,0.0,0.0,0.0,1843.0,663.0,1180.0,1.1,0.34,,0.447,2.38741182854042,1.01,2M ZnSO4,stainless-steel mesh,1.0,1.6,0.5,181.0
6.1,7.2,0.0,0.0,0.0,1843.0,663.0,1180.0,1.1,0.34,,0.447,2.38741182854042,1.01,2M ZnSO4,stainless-steel mesh,1.0,1.6,1.0,153.3
6.1,7.2,0.0,0.0,0.0,1843.0,663.0,1180.0,1.1,0.34,,0.447,2.38741182854042,1.01,2M ZnSO4,stainless-steel mesh,1.0,1.6,2.0,137.2
6.1,7.2,0.0,0.0,0.0,1843.0,663.0,1180.0,1.1,0.34,,0.447,2.38741182854042,1.01,2M ZnSO4,stainless-steel mesh,1.0,1.6,3.0,130.2
6.1,7.2,0.0,0.0,0.0,1843.0,663.0,1180.0,1.1,0.34,,0.447,2.38741182854042,1.01,2M ZnSO4,stainless-steel mesh,1.0,1.6,5.0,121.7
6.1,7.2,0.0,0.0,0.0,1843.0,663.0,1180.0,1.1,0.34,,0.447,2.38741182854042,1.01,2M ZnSO4,stainless-steel mesh,1.0,1.6,10.0,110.4
6.1,7.2,0.0,0.0,0.0,1843.0,663.0,1180.0,1.1,0.34,,0.447,2.38741182854042,1.01,2M ZnSO4,stainless-steel mesh,1.0,1.6,15.0,104.0
4.2,6.3,0.0,0.0,0.0,543.0,192.0,351.0,0.9,0.1,,0.125,6.62983425414365,0.99,2M ZnSO4,stainless-steel mesh,1.0,1.6,0.5,110.0
4.2,6.3,0.0,0.0,0.0,543.0,192.0,351.0,0.9,0.1,,0.125,6.62983425414365,0.99,2M ZnSO4,stainless-steel mesh,1.0,1.6,1.0,97.8
4.2,6.3,0.0,0.0,0.0,543.0,192.0,351.0,0.9,0.1,,0.125,6.62983425414365,0.99,2M ZnSO4,stainless-steel mesh,1.0,1.6,2.0,89.8
4.2,6.3,0.0,0.0,0.0,543.0,192.0,351.0,0.9,0.1,,0.125,6.62983425414365,0.99,2M ZnSO4,stainless-steel mesh,1.0,1.6,3.0,84.9
4.2,6.3,0.0,0.0,0.0,543.0,192.0,351.0,0.9,0.1,,0.125,6.62983425414365,0.99,2M ZnSO4,stainless-steel mesh,1.0,1.6,5.0,78.4
4.2,6.3,0.0,0.0,0.0,543.0,192.0,351.0,0.9,0.1,,0.125,6.62983425414365,0.99,2M ZnSO4,stainless-steel mesh,1.0,1.6,10.0,67.2
4.2,6.3,0.0,0.0,0.0,543.0,192.0,351.0,0.9,0.1,,0.125,6.62983425414365,0.99,2M ZnSO4,stainless-steel mesh,1.0,1.6,15.0,58.2
10.8,5.7,0.0,0.0,0.0,1454.0,177.0,1277.0,0.83,0.09,,0.122,2.28335625859697,1.05,2M ZnSO4,stainless-steel mesh,1.0,1.6,0.5,98.0
10.8,5.7,0.0,0.0,0.0,1454.0,177.0,1277.0,0.83,0.09,,0.122,2.28335625859697,1.05,2M ZnSO4,stainless-steel mesh,1.0,1.6,1.0,81.7
10.8,5.7,0.0,0.0,0.0,1454.0,177.0,1277.0,0.83,0.09,,0.122,2.28335625859697,1.05,2M ZnSO4,stainless-steel mesh,1.0,1.6,2.0,72.2
10.8,5.7,0.0,0.0,0.0,1454.0,177.0,1277.0,0.83,0.09,,0.122,2.28335625859697,1.05,2M ZnSO4,stainless-steel mesh,1.0,1.6,3.0,67.0
10.8,5.7,0.0,0.0,0.0,1454.0,177.0,1277.0,0.83,0.09,,0.122,2.28335625859697,1.05,2M ZnSO4,stainless-steel mesh,1.0,1.6,5.0,60.7
10.8,5.7,0.0,0.0,0.0,1454.0,177.0,1277.0,0.83,0.09,,0.122,2.28335625859697,1.05,2M ZnSO4,stainless-steel mesh,1.0,1.6,10.0,50.9
10.8,5.7,0.0,0.0,0.0,1454.0,177.0,1277.0,0.83,0.09,,0.122,2.28335625859697,1.05,2M ZnSO4,stainless-steel mesh,1.0,1.6,15.0,45.1
9.33,6.25,0.0,0.0,0.0,1021.0,694.0,327.0,1.07,,0.37022,1.89,4.19196865817826,0.84,3M Zn(CF3SO3)2,stainless-steel mesh,10.0,1.8,0.2,122.3
9.33,6.25,0.0,0.0,0.0,1021.0,694.0,327.0,1.07,,0.37022,1.89,4.19196865817826,0.84,3M Zn(CF3SO3)2,stainless-steel mesh,10.0,1.8,0.5,108.1
9.33,6.25,0.0,0.0,0.0,1021.0,694.0,327.0,1.07,,0.37022,1.89,4.19196865817826,0.84,3M Zn(CF3SO3)2,stainless-steel mesh,10.0,1.8,1.0,103.8
9.33,6.25,0.0,0.0,0.0,1021.0,694.0,327.0,1.07,,0.37022,1.89,4.19196865817826,0.84,3M Zn(CF3SO3)2,stainless-steel mesh,10.0,1.8,2.0,94.2
9.33,6.25,0.0,0.0,0.0,1021.0,694.0,327.0,1.07,,0.37022,1.89,4.19196865817826,0.84,3M Zn(CF3SO3)2,stainless-steel mesh,10.0,1.8,5.0,85.6
9.33,6.25,0.0,0.0,0.0,1021.0,694.0,327.0,1.07,,0.37022,1.89,4.19196865817826,0.84,3M Zn(CF3SO3)2,stainless-steel mesh,10.0,1.8,10.0,76.0
9.33,6.25,0.0,0.0,0.0,1021.0,694.0,327.0,1.07,,0.37022,1.89,4.19196865817826,0.84,3M Zn(CF3SO3)2,stainless-steel mesh,10.0,1.8,20.0,59.1
8.0,8.12,0.0,0.0,0.0,1685.0,318.0,1367.0,1.2,,0.7956,0.508,2.8486646884273,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10.0,1.8,0.2,153.8
8.0,8.12,0.0,0.0,0.0,1685.0,318.0,1367.0,1.2,,0.7956,0.508,2.8486646884273,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10.0,1.8,0.5,146.9
8.0,8.12,0.0,0.0,0.0,1685.0,318.0,1367.0,1.2,,0.7956,0.508,2.8486646884273,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10.0,1.8,1.0,127.3
8.0,8.12,0.0,0.0,0.0,1685.0,318.0,1367.0,1.2,,0.7956,0.508,2.8486646884273,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10.0,1.8,2.0,117.0
8.0,8.12,0.0,0.0,0.0,1685.0,318.0,1367.0,1.2,,0.7956,0.508,2.8486646884273,0.85,3M Zn(CF3SO3)2,stainless-steel mesh,10.0,1.8,5.0,108.7
