O,N,Specific surface area,Pore volume,Dap,ID/IG,Current density,Specific capacity,micro%
12.04,8.29,1530.9,0.96,2.508328434,0.86,0.5,165.9,0.385416667
12.04,8.29,1530.9,0.96,2.508328434,0.86,1.0,152.7,0.385416667
12.04,8.29,1530.9,0.96,2.508328434,0.86,2.0,141.1,0.385416667
12.04,8.29,1530.9,0.96,2.508328434,0.86,5.0,134.2,0.385416667
12.04,8.29,1530.9,0.96,2.508328434,0.86,10.0,128.6,0.385416667
20.61,3.95,544.83,0.26,1.908852303,0.96,0.1,134.5,0.95446286
20.61,3.95,544.83,0.26,1.908852303,0.96,0.2,110.2,0.95446286
20.61,3.95,544.83,0.26,1.908852303,0.96,0.4,93.0,0.95446286
20.61,3.95,544.83,0.26,1.908852303,0.96,0.5,86.7,0.95446286
20.61,3.95,544.83,0.26,1.908852303,0.96,1.0,72.9,0.95446286
20.61,3.95,544.83,0.26,1.908852303,0.96,2.0,57.0,0.95446286
20.61,3.95,544.83,0.26,1.908852303,0.96,3.0,48.0,0.95446286
20.61,3.95,544.83,0.26,1.908852303,0.96,4.0,41.5,0.95446286
18.15,3.51,648.22,0.32,1.97463824,1.01,0.1,156.54,0.949369041
18.15,3.51,648.22,0.32,1.97463824,1.01,0.2,132.3,0.949369041
18.15,3.51,648.22,0.32,1.97463824,1.01,0.3,111.55,0.949369041
18.15,3.51,648.22,0.32,1.97463824,1.01,0.4,105.4,0.949369041
18.15,3.51,648.22,0.32,1.97463824,1.01,0.5,98.5,0.949369041
18.15,3.51,648.22,0.32,1.97463824,1.01,1.0,86.8,0.949369041
18.15,3.51,648.22,0.32,1.97463824,1.01,2.0,70.5,0.949369041
18.15,3.51,648.22,0.32,1.97463824,1.01,3.0,59.2,0.949369041
18.15,3.51,648.22,0.32,1.97463824,1.01,4.0,51.8,0.949369041
15.17,1.8,225.22,0.1,1.776041204,1.08,0.1,84.5,0.920122547
15.17,1.8,225.22,0.1,1.776041204,1.08,0.2,63.4,0.920122547
15.17,1.8,225.22,0.1,1.776041204,1.08,0.4,50.7,0.920122547
15.17,1.8,225.22,0.1,1.776041204,1.08,0.5,45.0,0.920122547
15.17,1.8,225.22,0.1,1.776041204,1.08,1.0,34.5,0.920122547
15.17,1.8,225.22,0.1,1.776041204,1.08,2.0,24.5,0.920122547
15.17,1.8,225.22,0.1,1.776041204,1.08,3.0,19.7,0.920122547
15.17,1.8,225.22,0.1,1.776041204,1.08,4.0,17.0,0.920122547
11.92,0.0,2228.0,1.07,1.921005386,1.5,0.2,153.0,0.598130841
11.92,0.0,2228.0,1.07,1.921005386,1.5,0.5,125.0,0.598130841
11.92,0.0,2228.0,1.07,1.921005386,1.5,1.0,110.0,0.598130841
11.92,0.0,2228.0,1.07,1.921005386,1.5,2.0,98.0,0.598130841
11.92,0.0,2228.0,1.07,1.921005386,1.5,5.0,84.0,0.598130841
11.92,0.0,2228.0,1.07,1.921005386,1.5,10.0,75.0,0.598130841
